lp 	rok 	km 	zwycięzca 	kraj 	2. miejsce 	kraj 	3. miejsce 	kraj 	raport
59 	1972 	3.846 	Eddy Merckx 	 Belgia 	Felice Gimondi 	 Włochy 	Raymond Poulidor 	 Francja 	TdF 1972
58 	1971 	3.608 	Eddy Merckx 	 Belgia 	Joop Zoetemelk 	 Holandia 	Lucien Van Impe 	 Belgia 	TdF 1971
57 	1970 	4.254 	Eddy Merckx 	 Belgia 	Joop Zoetemelk 	 Holandia 	Gösta Pettersson 	 Szwecja 	TdF 1970
56 	1969 	4.117 	Eddy Merckx 	 Belgia 	Roger Pingeon 	 Francja 	Raymond Poulidor 	 Francja 	TdF 1969
55 	1968 	4.492 	Jan Janssen 	 Holandia 	Herman Van Springel 	 Belgia 	Ferdinand Bracke 	 Belgia 	TdF 1968
54 	1967 	4.758 	Roger Pingeon 	 Francja 	Julio Jiménez 	 Hiszpania 	Franco Balmamion 	 Włochy 	TdF 1967
53 	1966 	4.322 	Lucien Aimar 	 Francja 	Jan Janssen 	 Holandia 	Raymond Poulidor 	 Francja 	TdF 1966
52 	1965 	4.177 	Felice Gimondi 	 Włochy 	Raymond Poulidor 	 Francja 	Gianni Motta 	 Włochy 	TdF 1965
51 	1964 	4.504 	Jacques Anquetil 	 Francja 	Raymond Poulidor 	 Francja 	Federico Bahamontes 	 Hiszpania 	TdF 1964
50 	1963 	4.137 	Jacques Anquetil 	 Francja 	Federico Bahamontes 	 Hiszpania 	José Perez-Frances 	 Hiszpania 	TdF 1963
49 	1962 	4.274 	Jacques Anquetil 	 Francja 	Josef Planckaert 	 Belgia 	Raymond Poulidor 	 Francja 	TdF 1962
48 	1961 	4.397 	Jacques Anquetil 	 Francja 	Guido Carlesi 	 Włochy 	Charly Gaul 	 Luksemburg 	TdF 1961
47 	1960 	4.173 	Gastone Nencini 	 Włochy 	Graziano Battistini 	 Włochy 	Jan Adriaensens 	 Belgia 	TdF 1960
46 	1959 	4.391 	Federico Bahamontes 	 Hiszpania 	Henry Anglade 	 Francja 	Jacques Anquetil 	 Francja 	TdF 1959
45 	1958 	4.319 	Charly Gaul 	 Luksemburg 	Vito Favero 	 Włochy 	Raphaël Geminiani 	 Francja 	TdF 1958
44 	1957 	4.665 	Jacques Anquetil 	 Francja 	Marcel Janssens 	 Belgia 	Adolf Christian 	 Austria 	TdF 1957
43 	1956 	4.498 	Roger Walkowiak 	 Francja 	Gilbert Bauvin 	 Francja 	Jan Adriaensens 	 Belgia 	
42 	1955 	4.495 	Louison Bobet 	 Francja 	Jean Brankart 	 Belgia 	Charly Gaul 	 Luksemburg 	
41 	1954 	4.656 	Louison Bobet 	 Francja 	Ferdi Kübler 	 Szwajcaria 	Fritz Schär 	 Szwajcaria 	
40 	1953 	4.476 	Louison Bobet 	 Francja 	Jean Mallejac 	 Francja 	Giancarlo Astrua 	 Włochy 	
39 	1952 	4.898 	Fausto Coppi 	 Włochy 	Stan Ockers 	 Belgia 	Bernardo Ruiz 	 Hiszpania 	
